feature	LjRoot221	LjRoot149	LjRoot223	G37_LjNodule209	G21_LjRoot111	LjRoot228	G3_LjRoot129	LjRoot196	G32_LjRoot291	LjRoot259	G11_LjRoot25	G8_LjRoot126	LjRoot17	G2_LjRoot102	G16_LjRoot125	LjRoot82	G20_LjRoot162	LjRoot183	G1_LjRoot134	LjRoot71	LjRoot289	LjRoot3	G4_LjRoot26	LjRoot18	G6_LjRoot130	G17_LjRoot232	LjRoot227	LjRoot219	LjRoot122	LjRoot243	G12_LjRoot70	G29_LjRoot226	G22_LjRoot238	LjRoot237	G7_LjRoot117	LjRoot10	LjRoot229	G5_LjRoot105	LjRoot11	G36_LjRoot142	G14_LjRoot22	LjRoot285	LjRoot240	LjRoot248	G35_LjRoot145	LjRoot89	LjRoot1	G30_LjRoot2	LjRoot277	LjRoot152	G33_LjRoot104	G27_LjRoot78	LjRoot30	LjRoot295	LjRoot296	LjRoot257	G9_LjRoot131	G24_LjRoot12	LjRoot244	G15_LjRoot29	LjRoot230	LjRoot258	LjRoot220	G34_LjRoot233	LjRoot261	G31_LjRoot101	LjRoot28	LjRoot288	LjRoot231
Lj_Gifu_LjSC_1_endo	10036	6937	5481	2353	3439	16678	1816	5409	2904	2815	1412	2305	1531	1394	2078	1184	1006	696	2323	32	1196	1078	224	264	354	266	517	457	405	442	298	278	355	360	115	255	177	0	188	280	455	272	166	155	88	60	104	110	45	32	68	32	98	14	50	75	98	82	5	34	30	106	0	21	15	18	0	0	0
Lj_Gifu_LjSC_2_endo	5750	1825	5216	7240	1831	8260	842	809	1526	986	2174	1576	853	464	808	395	544	306	491	34	372	426	81	82	183	0	336	397	122	288	88	145	146	171	57	139	102	0	122	112	89	106	76	167	0	30	69	45	23	0	0	25	40	12	16	54	0	25	310	10	7	96	18	24	0	0	0	0	6
Lj_Gifu_LjSC_3_endo	4780	2612	1097	15598	1038	2264	737	680	1487	1255	392	931	671	650	985	251	397	954	677	9	509	986	170	235	216	50	374	293	85	251	0	101	191	175	46	106	211	0	54	82	167	109	52	106	78	25	70	52	27	0	0	11	22	51	44	0	0	16	0	10	12	98	0	8	0	0	0	0	0
Lj_Gifu_LjSC_4_endo	7126	2221	1043	17337	972	518	641	1822	1679	1411	725	836	466	420	499	457	353	476	677	20	740	321	96	134	185	80	380	344	67	245	149	155	99	120	59	328	119	0	92	113	176	124	87	91	0	26	51	49	30	26	48	27	22	0	0	0	0	28	7	16	7	82	16	13	9	0	0	0	0
Lj_symrk_LjSC_1_endo	8529	3040	14842	0	8995	63	2317	1544	2991	1401	3140	493	401	875	514	411	2582	1088	670	15	522	273	185	189	302	146	327	165	80	377	0	242	117	183	42	73	193	0	73	82	96	775	104	97	80	28	69	47	33	27	45	4	26	43	0	0	0	0	0	12	17	84	8	0	0	0	0	0	0
Lj_symrk_LjSC_2_endo	14263	4166	15512	131	10419	43	4034	1362	2419	1808	4348	409	381	1739	780	593	3404	4612	1376	21	280	666	303	682	441	225	453	248	95	796	170	174	245	262	49	134	406	0	81	69	422	144	100	137	110	52	82	44	29	0	132	4	21	76	63	0	0	12	225	56	12	65	0	0	0	0	0	6	0
Lj_symrk_LjSC_3_endo	12263	4872	22335	213	7384	162	2698	4507	3141	1992	3190	825	879	1592	1044	1142	1249	2201	605	34	798	607	277	229	325	237	515	356	163	396	236	263	153	238	160	119	272	0	158	95	116	188	121	137	100	51	102	41	32	74	82	12	40	55	27	0	0	13	0	31	14	0	13	21	0	0	0	3	0
Lj_symrk_LjSC_4_endo	18128	11923	2854	0	4080	43	5861	1986	2202	1036	1753	2207	7557	3991	5891	3313	1902	2971	842	4684	206	1104	1339	272	469	578	200	480	2906	307	335	374	484	383	373	582	162	554	374	243	61	138	91	84	201	280	98	108	69	227	88	43	48	85	90	113	88	89	51	8	0	0	23	11	0	18	23	0	0
Lj_ccamk_LjSC_1_endo	6383	5161	603	34	1239	0	2687	1384	1009	355	688	455	1209	1715	2315	1061	674	2318	393	109	43	722	210	21	205	101	55	256	585	125	103	238	136	176	308	195	96	159	117	0	0	0	59	36	144	67	34	54	7	40	63	0	32	97	36	53	99	20	0	0	0	0	0	28	0	0	14	0	0
Lj_ccamk_LjSC_2_endo	2785	1685	3032	36	2055	0	983	727	854	704	468	323	200	614	380	366	272	888	173	12	117	200	89	124	143	52	155	47	59	107	0	78	27	67	33	40	118	0	24	0	32	0	0	19	66	13	0	14	0	0	32	0	0	15	20	0	0	0	0	0	8	0	0	0	0	0	0	0	0
Lj_ccamk_LjSC_3_endo	12359	9348	108	0	2265	87	4459	2136	3051	1894	1467	755	1827	2515	2472	1684	1230	2430	826	129	277	1143	271	87	617	354	182	432	857	358	383	368	389	366	249	224	291	0	79	123	28	214	126	50	108	75	66	84	0	0	120	7	48	57	43	71	164	51	0	0	0	0	18	20	0	8	18	0	0
Lj_ccamk_LjSC_4_endo	8796	16370	46	0	2562	22	5039	1337	1948	732	795	1022	1232	2022	4522	1489	1284	5965	920	365	662	1117	431	16	548	353	61	273	691	250	119	507	147	313	396	248	246	410	142	84	24	151	64	0	150	111	46	41	18	70	62	6	15	24	38	0	362	23	0	0	0	0	14	0	22	0	0	0	0
Lj_nsp1_LjSC_1_endo	9192	8196	11212	0	2864	369	1407	5628	3768	1866	4330	540	730	1017	981	1250	970	1278	846	17	341	487	149	325	232	385	282	205	47	438	210	193	136	263	615	63	241	0	116	75	80	205	108	69	87	9	40	25	33	27	67	11	51	14	61	0	62	6	0	6	33	0	37	0	26	0	0	0	0
Lj_nsp1_LjSC_2_endo	7810	4698	2014	52	2660	30	1515	2967	2343	1772	2117	679	749	1209	1005	984	1038	911	1002	31	341	524	254	285	267	296	275	178	89	362	356	257	172	207	398	44	251	0	58	116	93	135	139	62	139	9	83	44	0	19	90	20	33	14	31	0	0	11	0	25	11	0	35	15	27	0	0	0	0
Lj_nsp1_LjSC_3_endo	7180	7946	1421	78	2349	0	1612	890	4323	1856	3921	812	494	992	874	1223	914	1219	1107	63	270	378	184	240	230	307	405	325	50	428	0	224	147	235	142	76	330	0	136	72	120	253	96	123	58	9	32	28	15	0	57	0	35	11	71	0	81	9	0	0	0	0	0	0	26	0	0	1	7
Lj_nsp1_LjSC_4_endo	751	744	67	26	416	0	182	189	361	202	142	101	128	175	168	118	131	163	130	36	84	64	42	38	51	0	48	37	31	88	0	21	26	59	16	0	0	0	55	0	16	0	0	0	0	0	12	8	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lj_nsp2_LjSC_1_endo	14120	7536	1149	0	4546	93	4109	1968	3671	2146	1845	875	1217	1476	1277	1019	1644	2550	762	79	695	509	397	254	486	324	446	410	272	489	198	254	198	422	262	145	515	0	146	122	121	222	232	60	122	76	35	71	26	15	119	19	60	41	31	48	50	20	0	0	0	0	36	23	38	0	0	1	0
Lj_nsp2_LjSC_2_endo	11249	3829	3887	74	2112	0	3192	994	2226	1991	2298	704	544	2449	1311	576	800	2476	675	23	195	260	248	629	285	256	545	149	81	493	0	167	210	154	41	107	267	0	141	82	164	241	85	112	79	49	32	69	34	0	72	9	29	74	29	0	0	0	0	19	22	67	0	0	0	0	0	0	0
Lj_nsp2_LjSC_3_endo	7716	2290	1319	0	1699	60	2762	309	1991	1308	640	536	476	609	712	308	748	1565	484	29	222	224	236	486	237	171	515	180	91	409	0	114	99	137	77	57	250	0	53	84	138	134	69	113	0	81	31	21	44	0	48	0	22	29	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0
Lj_nsp2_LjSC_4_endo	6014	2578	37025	0	4735	66	2176	266	2428	1176	2392	570	557	1569	973	356	1614	1391	487	32	93	132	423	439	248	574	557	226	296	240	0	139	186	152	36	79	141	0	78	41	438	0	72	99	44	52	48	43	31	0	47	4	29	29	28	0	0	0	7	23	32	0	0	0	0	0	0	0	10
