"","ASVid","Hv_WT_HvSC_only_endo_1","Hv_WT_HvSC_only_endo_2","Hv_WT_HvSC_only_endo_3","Hv_WT_HvSC_only_endo_4","Hv_WT_HvSC_only_endo_5","Hv_WT_HvSC_only_rhizo_1","Hv_WT_HvSC_only_rhizo_2","Hv_WT_HvSC_only_rhizo_3","Hv_WT_HvSC_only_rhizo_4","Hv_WT_HvSC_only_rhizo_5","Hv_WT_HvSC_only_rhizo_6","Hv_ccamk_HvSC_only_endo_1","Hv_ccamk_HvSC_only_endo_2","Hv_ccamk_HvSC_only_endo_3","Hv_ccamk_HvSC_only_endo_4","Hv_ccamk_HvSC_only_endo_5","Hv_ccamk_HvSC_only_endo_6","Hv_ccamk_HvSC_only_rhizo_2","Hv_ccamk_HvSC_only_rhizo_3","Hv_ccamk_HvSC_only_rhizo_4","Hv_ccamk_HvSC_only_rhizo_5","Hv_ccamk_HvSC_only_rhizo_6","Hv_nsp1_HvSC_only_endo_1","Hv_nsp1_HvSC_only_endo_2","Hv_nsp1_HvSC_only_endo_3","Hv_nsp1_HvSC_only_endo_4","Hv_nsp1_HvSC_only_endo_5","Hv_nsp1_HvSC_only_endo_6","Hv_nsp1_HvSC_only_rhizo_1","Hv_nsp1_HvSC_only_rhizo_2","Hv_nsp1_HvSC_only_rhizo_3","Hv_nsp1_HvSC_only_rhizo_4","Hv_nsp1_HvSC_only_rhizo_5","Hv_nsp1_HvSC_only_rhizo_6","Hv_nsp2_HvSC_only_endo_1","Hv_nsp2_HvSC_only_endo_2","Hv_nsp2_HvSC_only_endo_3","Hv_nsp2_HvSC_only_endo_4","Hv_nsp2_HvSC_only_endo_5","Hv_nsp2_HvSC_only_endo_6","Hv_nsp2_HvSC_only_rhizo_1","Hv_nsp2_HvSC_only_rhizo_2","Hv_nsp2_HvSC_only_rhizo_3","Hv_nsp2_HvSC_only_rhizo_4","Hv_nsp2_HvSC_only_rhizo_5","Hv_nsp2_HvSC_only_rhizo_6","Hv_symrk_HvSC_only_endo_1","Hv_symrk_HvSC_only_endo_2","Hv_symrk_HvSC_only_endo_3","Hv_symrk_HvSC_only_endo_4","Hv_symrk_HvSC_only_endo_5","Hv_symrk_HvSC_only_endo_6","Hv_symrk_HvSC_only_rhizo_1","Hv_symrk_HvSC_only_rhizo_2","Hv_symrk_HvSC_only_rhizo_3","Hv_symrk_HvSC_only_rhizo_4","Hv_symrk_HvSC_only_rhizo_5","Hv_symrk_HvSC_only_rhizo_6"
"P2_H11","P2_H11",2694,1397,1749,2106,2078,1070,1119,2649,2015,2692,2839,1434,855,1742,1461,709,1349,1200,867,311,401,483,2716,1087,2639,2040,2180,1523,304,369,668,1725,828,1209,1278,837,1088,986,1208,1687,592,1039,666,1670,2225,1571,2158,3809,2825,1644,2903,2428,900,1501,1288,1123,1658,1182
"P5_A1","P5_A1",856,1643,1976,1761,2592,61,41,139,126,136,111,3728,3456,1959,2454,3597,2834,103,141,44,84,96,1695,2690,1973,1996,2074,2004,53,67,72,104,91,42,882,2604,1595,2424,2342,1761,26,45,29,65,47,28,1560,1326,1480,3062,1084,1543,45,46,29,62,68,59
"P4_H10","P4_H10",373,443,176,597,404,809,965,1211,1522,1203,1596,283,259,1575,1542,1083,1266,1656,883,1397,1753,1260,636,615,1026,696,1139,1988,688,384,1153,900,1014,788,2368,564,822,885,312,786,582,1006,1598,1661,1362,1167,371,551,265,333,472,657,599,654,579,779,1033,870
"P1_A1","P1_A1",510,147,55,12,43,1304,1400,389,336,262,137,65,48,115,56,79,89,807,1688,1323,1015,1442,114,136,132,345,114,126,1425,2260,1064,1076,969,1321,221,94,152,102,57,76,913,1246,1213,639,748,957,117,62,97,76,82,90,1327,1602,1324,1230,998,1218
"P1_A8","P1_A8",355,516,964,711,385,440,364,679,1000,793,814,209,597,175,111,131,118,504,395,344,354,339,201,458,108,226,157,228,178,285,449,354,390,305,549,650,939,505,682,738,163,408,425,433,310,386,693,227,532,337,607,589,248,348,320,310,442,396
"P4_A8","P4_A8",551,430,39,10,71,529,322,158,84,166,21,86,178,113,56,83,69,354,463,259,538,366,93,194,50,115,46,66,1686,771,1307,485,1492,1287,140,98,168,131,38,70,3456,555,452,812,706,643,105,70,125,113,276,114,1489,537,803,1012,529,627
"P1_F10","P1_F10",105,254,234,194,132,8,19,12,11,18,15,452,473,194,227,436,308,35,32,17,24,17,335,456,247,247,386,209,19,19,18,27,40,34,126,828,324,284,611,453,14,26,25,21,23,24,493,300,383,361,286,315,27,29,16,34,13,34
"P1_E1","P1_E1",219,270,444,283,234,112,151,137,276,184,162,138,192,216,172,202,211,147,119,78,102,129,207,309,103,182,145,193,106,103,178,159,138,124,265,300,525,346,373,340,53,98,103,145,124,96,283,124,257,169,308,313,80,85,52,81,116,129
"P4_C7","P4_C7",328,237,33,314,36,858,594,153,165,146,153,11,24,81,94,64,52,287,407,589,466,590,99,44,68,193,45,63,601,471,438,454,349,343,135,37,61,173,40,104,284,439,460,287,369,495,79,42,64,118,95,118,463,578,611,506,452,426
"P4_B4","P4_B4",56,55,15,9,8,572,842,176,183,97,41,4,15,46,54,38,36,285,391,1027,812,952,20,30,19,64,32,21,589,548,558,543,367,500,52,13,30,32,19,14,338,676,739,344,299,617,26,18,29,27,32,43,518,641,743,626,536,641
"P1_C1","P1_C1",109,243,165,134,172,174,179,273,297,330,395,65,97,203,170,153,190,451,307,113,131,153,149,152,214,153,173,192,134,141,232,333,350,202,228,92,158,161,153,157,91,125,125,160,147,116,98,98,95,99,113,125,113,119,66,106,175,210
"P2_D12","P2_D12",112,230,328,161,196,9,9,27,21,31,15,186,220,96,132,109,122,15,22,7,16,5,140,160,81,120,190,65,9,9,17,11,16,17,35,203,164,188,246,119,3,24,35,13,11,11,232,134,232,204,89,85,20,7,4,25,4,18
"P5_B3=P4_C1","P5_B3=P4_C1",28,40,1,0,0,538,597,87,137,79,46,5,2,69,49,27,17,215,280,1058,861,576,6,16,12,60,15,20,396,457,336,328,208,241,31,5,14,3,16,9,173,518,658,212,187,431,15,12,15,38,25,19,445,499,799,656,488,540
"P2_C12","P2_C12",135,261,56,92,110,26,15,12,24,25,9,46,91,50,61,13,34,16,19,6,23,12,133,67,91,142,40,22,13,43,10,28,39,8,76,73,187,65,155,117,13,20,16,12,9,4,193,38,104,71,88,88,27,6,5,7,20,14
"P1_E8","P1_E8",76,99,149,116,60,78,66,230,162,100,169,37,43,62,64,53,70,41,41,55,43,56,64,62,34,64,48,48,40,71,53,37,58,70,48,101,101,110,167,78,31,78,78,109,94,50,129,33,91,59,64,67,58,52,66,64,73,94
"P1_D3","P1_D3",72,144,28,46,109,70,38,92,129,150,11,10,36,17,21,50,26,32,54,39,19,160,43,75,47,50,30,38,304,311,99,80,185,105,168,117,67,177,53,32,123,284,120,127,39,91,78,24,69,56,43,22,185,60,54,116,42,33
"P5_A10","P5_A10",132,122,136,33,76,56,61,121,63,73,106,96,67,43,32,46,18,51,34,10,36,45,141,113,35,34,52,29,45,222,56,21,52,53,91,86,50,71,90,133,49,41,27,33,30,27,57,52,87,70,48,79,39,32,42,57,21,45
"P1_A6","P1_A6",51,72,98,119,57,24,23,43,33,41,41,62,79,75,114,63,87,69,58,41,47,64,82,113,59,75,86,104,21,34,31,61,62,38,144,74,151,108,89,129,14,19,15,37,21,21,62,69,43,60,92,119,12,12,17,22,21,32
"P4_B10","P4_B10",71,61,65,69,47,78,37,159,127,179,102,41,59,39,19,33,17,47,48,6,25,23,54,51,19,21,19,8,39,55,47,34,70,45,13,28,33,42,42,24,15,49,28,36,40,37,40,10,25,22,59,40,62,28,36,53,49,62
"P4_E5","P4_E5",33,57,51,72,35,28,25,41,44,54,53,21,32,44,45,26,32,26,11,21,9,11,36,44,25,28,22,22,8,16,14,16,18,22,34,46,69,22,77,51,7,51,38,22,36,12,82,25,50,39,77,47,32,21,31,26,27,34
"P4_B2","P4_B2",70,66,56,78,56,22,27,62,62,63,44,34,33,18,26,21,27,64,39,15,28,10,23,29,28,36,19,7,19,20,23,28,20,42,28,42,48,37,49,33,4,22,13,18,28,17,54,14,35,19,24,30,27,13,21,14,40,36
"P4_F10","P4_F10",7,33,30,5,4,28,18,35,14,10,5,3,34,3,5,3,5,112,152,56,43,47,12,39,12,34,0,8,52,137,75,65,59,64,51,16,55,17,63,21,22,51,37,47,19,36,17,12,47,12,8,5,44,27,25,33,34,37
"P4_D7","P4_D7",9,9,7,4,18,9,0,63,0,34,0,7,78,73,16,6,6,82,197,48,63,35,2,5,4,22,13,4,118,29,6,11,21,54,4,23,2,39,6,5,11,56,39,33,84,68,3,7,6,11,46,9,121,31,26,15,58,93
"P4_C9","P4_C9",9,10,7,0,0,75,77,0,28,10,0,1,6,15,5,5,0,86,96,81,67,85,12,7,6,19,4,10,94,69,52,51,59,32,5,8,3,0,4,7,24,69,62,33,37,46,7,5,6,8,5,7,71,54,44,50,50,65
"P4_G1","P4_G1",19,44,22,30,16,23,7,25,34,9,31,9,10,18,16,4,15,45,41,22,14,22,12,33,21,27,18,18,8,13,22,16,16,19,25,22,59,14,43,27,15,14,12,20,22,25,16,6,21,10,16,21,21,11,16,15,16,28
"P4_G3","P4_G3",48,81,28,33,39,13,9,14,19,32,19,0,5,3,5,2,4,33,14,13,3,7,8,15,4,24,7,1,2,17,5,12,12,10,6,11,40,8,11,12,6,12,9,11,11,8,22,7,15,7,10,9,30,17,11,17,17,17
"P2_B12","P2_B12",14,12,35,27,9,9,7,14,9,4,17,9,20,18,12,19,20,15,13,14,18,12,12,27,6,16,6,26,11,9,3,10,12,4,28,14,47,51,27,38,0,9,0,6,5,12,10,0,16,16,21,23,0,5,8,8,10,8
"P5_E7","P5_E7",6,3,4,18,0,13,22,49,35,19,54,2,5,16,29,3,21,69,28,32,43,27,4,4,9,3,7,11,18,20,19,16,29,19,4,0,5,12,5,16,8,38,32,8,10,43,3,0,3,0,3,5,25,24,14,6,31,51
"P5_B10","P5_B10",7,0,0,0,0,0,0,0,0,0,14,7,0,2,0,0,0,39,68,12,18,11,13,4,0,0,4,8,20,0,0,14,0,14,5,0,4,5,0,0,12,11,0,14,8,13,3,0,5,0,0,0,7,6,11,0,0,17
"P1_B10","P1_B10",8,21,19,18,8,0,6,13,0,8,4,4,15,6,9,15,10,11,6,6,0,11,5,13,4,5,9,8,3,4,4,4,6,20,15,15,21,21,10,18,4,0,0,8,8,1,9,4,9,7,15,15,1,5,5,1,6,11
"P2_H2","P2_H2",0,12,46,0,0,0,0,0,0,0,0,26,20,9,16,10,33,0,0,0,0,0,14,18,0,6,0,0,0,0,0,0,0,0,0,41,9,20,18,0,0,0,0,0,0,0,27,16,18,25,36,24,0,0,0,0,0,0
"P4_B5","P4_B5",3,7,11,7,3,11,1,0,6,0,2,1,6,4,18,7,0,30,8,13,14,10,1,0,1,2,3,4,0,6,8,1,9,19,3,7,20,32,7,11,11,2,5,24,14,4,2,2,4,8,30,8,2,8,7,16,14,5
"P1_C2","P1_C2",4,10,4,2,7,14,11,17,33,40,20,1,2,2,2,3,2,17,12,10,16,17,2,3,1,4,0,3,9,22,27,14,48,16,2,1,8,0,1,0,11,17,25,8,10,5,7,1,2,3,2,3,15,14,15,8,29,21
"P2_A1","P2_A1",7,15,11,14,24,0,0,0,0,13,1,5,7,2,6,6,10,11,6,6,5,1,3,6,5,10,4,3,7,8,0,3,8,0,15,11,13,10,18,2,0,5,0,0,0,5,9,0,10,1,18,11,3,4,0,2,3,4
"P2_B1","P2_B1",6,10,0,5,21,10,4,2,25,34,16,3,2,0,0,0,0,0,6,0,6,5,9,0,9,4,6,0,5,11,9,14,14,10,3,1,0,0,0,0,9,12,7,0,4,8,2,0,4,2,0,1,25,3,1,4,8,5
"P1_A9","P1_A9",8,4,6,2,5,0,3,0,16,5,6,0,6,2,0,0,1,4,1,1,0,0,4,4,1,0,0,3,3,0,1,0,5,4,6,13,12,6,7,7,1,3,6,12,1,6,5,1,8,3,4,3,1,1,0,4,1,5
"P5_C1","P5_C1",2,6,6,7,6,4,8,0,11,19,10,4,2,1,0,0,0,7,6,1,0,3,0,1,0,4,1,1,4,6,8,7,6,0,3,2,9,4,4,3,5,7,6,5,0,3,5,4,2,0,8,5,3,4,4,5,4,8
"P2_C2=P4_E2","P2_C2=P4_E2",1,0,0,0,0,4,0,6,0,0,7,1,0,0,2,2,0,8,0,7,0,3,4,9,3,11,3,9,11,27,0,6,21,2,4,9,3,0,8,0,7,4,0,3,0,8,7,0,6,4,6,5,11,7,0,8,4,15
"P5_C5","P5_C5",2,5,2,2,0,0,0,0,0,0,0,5,5,2,2,0,0,3,2,0,0,0,0,2,1,5,2,0,0,3,0,1,0,0,2,11,9,5,31,9,0,0,0,0,0,0,4,5,4,7,2,11,0,0,0,0,0,0
"P3_A2","P3_A2",3,0,2,0,0,0,0,12,11,10,0,2,9,0,3,1,0,0,10,0,0,0,4,2,3,5,6,4,0,3,7,13,0,6,6,7,10,8,3,12,0,0,0,2,3,0,2,0,2,1,4,4,0,0,0,0,2,0
"P2_A8","P2_A8",2,11,3,4,8,1,2,0,4,6,0,2,1,1,2,4,2,3,1,1,5,1,2,4,3,1,3,4,3,2,2,7,2,0,3,3,8,2,3,3,1,1,0,4,2,1,2,2,0,1,1,0,1,2,0,0,4,3
"P4_E4","P4_E4",1,0,0,0,0,2,4,0,0,0,10,0,0,0,0,0,0,55,65,2,7,12,0,0,0,0,0,0,8,9,4,14,4,4,0,0,2,0,0,0,6,5,0,6,4,9,0,0,0,0,0,0,1,5,1,0,3,6
"P2_E10","P2_E10",0,8,25,13,16,15,25,0,8,0,0,0,3,0,0,2,5,11,0,2,0,0,0,0,0,1,0,0,3,0,0,0,10,0,1,0,0,0,4,0,0,5,0,0,0,1,7,0,0,0,0,1,0,0,3,0,0,5
"P5_D10","P5_D10",0,2,1,0,2,2,11,5,7,9,1,0,0,0,0,0,0,7,13,7,0,2,0,0,0,0,0,3,7,3,7,8,6,2,0,0,1,1,3,2,3,8,0,0,4,0,0,0,1,0,0,0,1,5,0,3,2,2
"P2_G8","P2_G8",1,10,0,0,18,0,0,4,3,6,0,3,1,0,0,0,4,5,4,0,0,5,0,4,5,3,1,4,6,5,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,3,0,2,0,1,0,1,4,0,0,4,0
"P2_H12","P2_H12",1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,1,0,6,0,0,15,10,3,0,0,0,0,0,5,0,5,2,3,5,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
"P3_C6","P3_C6",2,4,4,2,0,4,0,0,11,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,4,0,0,0,0,0,0,3,0,4,2,2,1,0,0,1,0,3,3,0,0,0,3,3
"P5_D4=P4_F1","P5_D4=P4_F1",0,0,1,0,3,6,0,1,14,10,9,0,2,0,0,0,0,4,10,2,1,3,0,0,2,2,0,0,19,3,6,0,0,0,0,0,2,3,0,0,5,0,2,3,3,4,0,0,0,0,0,0,5,1,5,6,0,0
"P2_D3","P2_D3",0,3,0,0,0,0,0,0,5,3,4,0,1,0,0,2,0,1,4,4,0,0,0,2,0,4,0,0,0,2,3,7,4,10,1,0,1,0,0,0,0,0,0,1,1,0,0,0,4,1,1,0,1,1,3,0,1,1
"P2_F5","P2_F5",1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
"P1_D2","P1_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_B11","P4_B11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,3,8,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0
"P5_D12","P5_D12",2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0
"P5_A5","P5_A5",0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5,3,0,0,0,0,0,0,5,0,0,1,5,0,0,0,0,0,0,0
"P2_D8","P2_D8",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"P2_E3","P2_E3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,4,0,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P4_H6","P4_H6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
"P4_H11","P4_H11",0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_H7","P4_H7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"P4_G10","P4_G10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1_C9","P1_C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
"P2_D9","P2_D9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0
"P2_H3","P2_H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"P2_H9","P2_H9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_D8","P4_D8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P4_B8","P4_B8",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_A4","P5_A4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_G7","P4_G7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P2_E4","P2_E4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_D2","P5_D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_D3","P4_D3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_F5","P4_F5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P5_A6","P5_A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P2_B3","P2_B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P4_A5","P4_A5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
